Oils & Lubricants-Dealers,303
Expressing & Moving (See also Trucking & Teaming),303
"""Dresses (See Clothing Dealers-Women's and Misses') Dressmakers""",302
*Grindinu Wheel Supplies,301
"""PHYSICIANS m SURGEONS M. D. -'""",298
HALLS,297
*Japanners (See Enamelers) J ewelers-Mig,296
(SEE ALSO WAREHOUSES - MERCHANDISE),295
J EW ELERS -MANUFACTURING,294
99 GHAI,294
Ice Cream Mfrs,293
Weybosset,292
AUTOMOBILE DEALERS,287
CONTRACTORS-BUILDING- GENERAL,286
Restaurants & hunch Rooms,286
AUTOMOBILE DEALERS-USED CARS,285
Furniture Dealers-Retall,285
PHYSICIANS AND SURGEONS-MD- Contd,284
Ice Dealers,278
APARTMENTS AND TOWN HOUSE CONTD,277
BAKERS-RETAIL,277
FURNISHED ROOMS,276
N urses-Graduate,273
JEWELERS,273
Office Supplies & Equipment,271
CONTRACTORS-PLUMBING,270
"Cleaners-Garments, Curtains & Draperies",269
SUPPLIES-DEALERS,266
Grocers-Retail See also Commission Merchants; also Meats-Retail),265
FLORISTS-RETAIL,264
TRUCKING,264
Fish Dealers-Retail,264
"""REAL ESTATE (800 also Realtors; ' Denotes Realtor)""",263
MEATS-RETAIL,262
SALARY,262
LAUNDRIES,262
FRUIT DEALERS-RETAIL,261
PHOTOGRAPHERS,259
GIFT SHOPS,259
J ewelers-qu,258
INSURANCE,258
Radio Sets & Supplies-Retail,257
TOOL MANUFACTURERS,256
Labor Organizations,253
quuors-Retall,252
- MANUFACTURERS,252
Bakers-Retall,252
Nurses-Graduate,251
DRY GOODS-RETAIL,251
Chiropodists,247
Buildmgs-Offlce & Public,247
BUILDING WRECKERS,247
MONUMENTS PELLETT WI 2440,247
CLUBS-CONTD,246
Buildings-Offlce & Public,246
Goal Dealers-Retail,244
Machinery Mfrs,243
Gwollne & 011 Service Stations,243
Dental Laboratories,243
DRESSMAKERS,242
Beauty Shops ( See also Barbers),242
TAILORS,240
Painters and Decorators,240
Finance Companies,239
LAW OFFICES-CONTD,238
AUTOMOBILE REPAIRING,237
NUMBMATISTS,237
Societies,235
ADVERTISING AGENCIES,234
"Real Estate (See also Brokers-Real Estate; also Land Companies) ,",234
Clubs-Social,233
CANS AND PAI LS,233
Hairdressers (See Beauty Shops) Halls,232
ING,232
DECORAT I NC,232
Buildings-Oiiice & Public,232
Buildinqs-Otfice and Public,231
Bulldings-Office & Public,231
ARTISTS-COMMERCIAL,230
Tailors-Merchant,230
Bulldings-Ofiice & Public,229
Buildings-Ofiice & Public,227
JEWELERS-MFG-CONTD,226
CONVENTS,223
Buildings-Otfice & Public,223
Real Estate (See also Brokers-Rea1 Estate; also Land Companies),222
Cletgyme,222
Hardware Dealers-Retail,222
CONSULTANTS,221
Glergymer,220
Contractors-Building-General,220
*Linoleums & Floor Coverings,220
